tournament_id,match_id,created_at,map_name,duration,winner,telemetry
as-pcs3kr,9f71cf10-cb9b-46e0-87a0-555aa21f8064,2020-09-11 11:51:18,Erangel (Remastered),1733,GE,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/12/22/67ea4333-f429-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,a9930567-5747-4b5c-a92c-786514b65261,2020-09-11 11:07:54,Erangel (Remastered),1639,BJ,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/11/37/2103f44d-f423-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,ce7c9758-7933-469b-b506-74986c1f94be,2020-09-25 08:56:07,Erangel (Remastered),1848,DNW,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/25/09/28/8639e4b3-ff11-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,ac929594-e845-47b6-b7f9-8970ba047b87,2020-09-19 11:13:26,Erangel (Remastered),1858,T1,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/19/11/46/bd20964d-fa6d-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,7ca34abe-1489-404c-ae96-15ec5ce377fd,2020-09-19 09:39:44,Miramar,1821,ENT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/19/10/12/90024244-fa60-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,385120bf-4647-429d-a9ed-d40d7b68cc78,2020-09-19 08:58:35,Miramar,1699,VLG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/19/09/28/872ebdde-fa5a-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,2fafe36d-91f2-4c97-aa78-7d89fd1e3fb2,2020-09-18 11:55:11,Erangel (Remastered),1853,AF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/18/12/28/64fe2375-f9aa-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,5b933143-9ed5-4aa3-904c-0115ca3f5d14,2020-09-18 08:55:14,Miramar,1856,ENT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/18/09/28/4251d17c-f991-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,0b1827e2-6ca3-4a4c-b572-1bf00846988c,2020-10-10 12:06:16,Erangel (Remastered),1615,ENT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/10/12/35/07c6872e-0af5-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,8a23bb66-fc71-4769-9795-a93be241f7ea,2020-10-09 12:02:19,Erangel (Remastered),1711,GRF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/09/12/32/89dc9701-0a2b-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,acc02c29-c3b7-42a1-b250-e097e8b0b45b,2020-09-26 08:53:15,Erangel (Remastered),1729,QDR,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/26/09/24/037258cd-ffda-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,aa497445-1f7a-4f6f-8201-ce636c49693e,2020-09-25 10:28:20,Miramar,1801,emT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/25/11/00/4c496f91-ff1e-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,49f4dff5-6f47-4aa8-afef-1cd3a7c0bef3,2020-09-18 09:39:00,Miramar,1830,OPGG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/18/10/11/50d8b782-f997-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,41c7e9d6-eefd-4a5a-af38-239b0078aa00,2020-09-11 09:46:36,Miramar,1687,DWG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/10/16/e1ae37d4-f417-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,175bc344-3563-49fc-b236-23d3e640cd4b,2020-09-10 11:46:23,Miramar,1826,NCT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/12/18/c5ed7313-f35f-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,f93b25ba-4aba-48f8-add7-4d09050993cf,2020-09-10 10:18:36,Miramar,1851,GG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/10/51/9120f345-f353-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,bf28182f-2067-4dd9-8d83-337f2b35dc05,2020-10-10 08:58:32,Miramar,1867,GRF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/10/09/31/63d1e66a-0adb-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,b1b1b813-cfbf-45c9-b722-067c4ff84e55,2020-09-26 09:35:43,Erangel (Remastered),1744,OPGG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/26/10/06/fb17e779-ffdf-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,a031f7e1-b3b7-484e-9a98-bf23a1960ee8,2020-09-19 11:57:26,Erangel (Remastered),1855,AF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/19/12/30/dfec9d5e-fa73-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,95d9ffd8-a163-4d02-8fdb-d2b7d45b852d,2020-09-18 10:27:07,Erangel (Remastered),1875,VSG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/18/11/00/241e9531-f99e-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,2acb671d-e1d0-45da-b600-c17c79b009b0,2020-09-11 10:27:09,Erangel (Remastered),1747,AFS,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/10/58/af2d48e5-f41d-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,08acafa2-ef25-4117-892a-87bc0f193c2c,2020-10-09 08:53:09,Miramar,1778,SP,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/09/09/24/44e42685-0a11-11eb-8c1f-da65634283a2-telemetry.json
